"field:1","field:2","field:3","field:4","field:5","field:6","field:7","field:8","field:9","Output:field:9"
4.0,1.0,1.0,1.0,66.0,2.0,2.0,1.0,-1.0,-1
1.0,1.0,0.0,1.5,67.0,1.0,0.0,2.0,-1.0,-1
2.0,1.0,0.0,1.0,58.0,3.0,0.0,1.0,-1.0,-0.9999999992
0.0,0.0,0.0,1.5,64.0,3.0,0.0,2.0,1.0,0.7575316345
0.0,0.0,0.0,1.0,66.0,1.0,0.0,2.0,1.0,0.4739807305
0.0,0.0,0.0,1.0,62.0,0.0,2.0,2.0,1.0,0.9999999571
3.0,1.0,1.0,1.5,69.0,4.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,60.0,2.0,0.0,2.0,1.0,0.9999862438
0.0,0.0,0.0,1.0,46.0,0.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,67.0,1.0,0.0,3.0,1.0,0.9680502546
1.0,1.0,0.0,1.5,71.0,3.0,0.0,1.0,-1.0,-0.9750999591
0.0,0.0,0.0,1.0,46.0,0.0,0.0,2.0,1.0,1
4.0,1.0,0.0,1.5,68.0,0.0,2.0,1.0,-1.0,-0.9999986311
6.0,1.0,0.0,1.5,56.0,2.0,2.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,56.0,1.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.0,58.0,0.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,62.0,1.0,0.0,3.0,1.0,1
0.0,0.0,0.0,1.5,59.0,2.0,0.0,3.0,-1.0,1
1.0,1.0,1.0,1.5,71.0,4.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.0,70.0,1.0,0.0,2.0,-1.0,-0.9981099477
1.0,1.0,0.0,1.5,66.0,1.0,1.0,2.0,-1.0,-1
0.0,0.0,0.0,1.0,58.0,0.0,0.0,2.0,1.0,1
3.0,1.0,0.0,1.5,68.0,4.0,0.0,1.0,-1.0,-0.9727540735
2.0,1.0,0.0,1.0,70.0,3.0,0.0,1.0,-1.0,-0.7997486317
0.0,0.0,0.0,4.0,70.0,0.0,4.0,1.0,1.0,0.162890297
8.0,1.0,1.0,1.5,56.0,2.0,0.0,1.0,-1.0,-0.9999999979
0.0,0.0,3.0,4.0,70.0,0.0,4.0,1.0,-1.0,-0.9999978298
2.0,0.0,0.0,1.5,60.0,0.0,2.0,2.0,1.0,0.999998003
0.0,0.0,0.0,1.5,56.0,3.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.0,66.0,0.0,0.0,2.0,1.0,0.2865163054
0.0,0.0,0.0,1.5,69.0,2.0,0.0,3.0,1.0,-0.1291165925
4.0,1.0,0.0,1.5,68.0,1.0,2.0,1.0,-1.0,-0.9999993535
1.0,1.0,1.0,1.5,71.0,3.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,57.0,1.0,0.0,3.0,1.0,1
3.0,1.0,0.0,1.5,54.0,2.0,0.0,2.0,-1.0,-0.9999996661
0.0,0.0,0.0,1.5,70.0,1.0,0.0,3.0,1.0,-0.0052565872
0.0,0.0,0.0,1.5,44.0,0.0,2.0,2.0,1.0,1
1.0,1.0,0.0,1.5,74.0,1.0,0.0,2.0,-1.0,-0.9999879768
4.0,1.0,0.0,1.0,58.0,0.0,2.0,1.0,-1.0,-1
3.0,0.0,0.0,1.5,49.0,1.0,1.0,2.0,1.0,1
1.0,1.0,1.0,1.5,71.0,3.0,1.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,63.0,2.0,0.0,3.0,1.0,0.999999994
2.0,0.0,0.0,1.0,50.0,2.0,0.0,2.0,-1.0,1
0.0,0.0,0.0,1.5,63.0,2.0,0.0,3.0,1.0,0.999999994
0.0,0.0,0.0,1.5,63.0,2.0,0.0,2.0,1.0,0.9949222688
1.0,1.0,1.0,1.5,70.0,2.0,0.0,2.0,-1.0,-1
1.0,1.0,1.0,1.5,67.0,3.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,4.0,66.0,0.0,0.0,1.0,1.0,0.999942298
2.0,1.0,1.0,1.5,69.0,3.0,0.0,2.0,-1.0,-1
0.0,0.0,0.0,1.5,38.0,2.0,0.0,3.0,-1.0,1
0.0,0.0,0.0,1.0,74.0,1.0,0.0,2.0,-1.0,-0.8157413082
0.0,0.0,0.0,4.0,66.0,0.0,4.0,1.0,-1.0,0.8590545704
0.0,0.0,0.0,1.5,68.0,3.0,0.0,2.0,1.0,0.9949948052
0.0,0.0,0.0,1.5,61.0,2.0,0.0,2.0,1.0,0.9998739599
2.0,0.0,0.0,1.0,66.0,0.0,0.0,2.0,-1.0,-0.9968775235
0.0,0.0,0.0,1.0,66.0,2.0,0.0,2.0,1.0,0.6991727158
0.0,0.0,0.0,1.0,62.0,2.0,0.0,2.0,1.0,0.9999620955
0.0,0.0,1.0,4.0,66.0,2.0,0.0,1.0,-1.0,-0.9177015028
2.0,1.0,0.0,1.0,66.0,0.0,0.0,1.0,-1.0,-0.9352677847
0.0,0.0,3.0,4.0,70.0,0.0,4.0,1.0,-1.0,-0.9999978298
0.0,0.0,0.0,1.5,52.0,1.0,0.0,2.0,1.0,1
0.0,0.0,1.0,1.5,73.0,1.0,3.0,2.0,-1.0,-0.9270540199
2.0,1.0,0.0,1.0,66.0,0.0,2.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,53.0,0.0,3.0,2.0,1.0,1
1.0,1.0,0.0,1.5,72.0,1.0,3.0,1.0,-1.0,-0.9638347144
0.0,0.0,0.0,4.0,62.0,0.0,4.0,1.0,1.0,0.8325567361
8.0,0.0,0.0,1.0,54.0,0.0,2.0,2.0,-1.0,-0.9999999995
0.0,0.0,0.0,4.0,58.0,3.0,0.0,1.0,1.0,-0.4340744783
0.0,0.0,0.0,1.0,66.0,1.0,0.0,2.0,1.0,0.4739807305
7.0,1.0,1.0,1.5,55.0,1.0,3.0,1.0,-1.0,-1
2.0,1.0,1.0,1.5,69.0,0.0,2.0,2.0,-1.0,-1
0.0,0.0,0.0,1.5,68.0,1.0,2.0,2.0,1.0,0.9993811237
0.0,0.0,0.0,1.5,52.0,2.0,0.0,2.0,1.0,1
4.0,1.0,0.0,1.0,62.0,2.0,0.0,1.0,-1.0,-0.999999999
2.0,1.0,0.0,1.0,70.0,1.0,2.0,1.0,-1.0,-0.9999993309
1.0,1.0,0.0,1.5,69.0,2.0,0.0,2.0,-1.0,-1
2.0,1.0,0.0,1.0,70.0,4.0,0.0,1.0,-1.0,-0.9897272484
0.0,0.0,0.0,1.5,48.0,3.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,72.0,2.0,0.0,2.0,-1.0,0.9993567534
0.0,0.0,0.0,1.0,58.0,0.0,0.0,2.0,1.0,1
8.0,1.0,0.0,1.0,58.0,1.0,2.0,1.0,-1.0,-1
2.0,1.0,1.0,1.5,59.0,4.0,0.0,1.0,-1.0,-0.9999999999
0.0,0.0,0.0,4.0,66.0,0.0,4.0,1.0,1.0,0.8590545704
0.0,0.0,0.0,1.5,68.0,2.0,0.0,2.0,-1.0,0.824408194
0.0,0.0,0.0,1.5,69.0,3.0,0.0,3.0,1.0,0.999985724
0.0,0.0,0.0,1.5,66.0,1.0,0.0,3.0,1.0,0.9979680731
1.0,1.0,1.0,1.5,70.0,3.0,0.0,2.0,-1.0,-1
1.0,1.0,0.0,1.5,70.0,0.0,1.0,2.0,-1.0,-1
2.0,0.0,0.0,1.0,66.0,0.0,2.0,2.0,-1.0,-0.9999710496
4.0,1.0,0.0,1.0,50.0,2.0,0.0,1.0,-1.0,-0.9999998823
2.0,1.0,0.0,1.0,70.0,2.0,2.0,1.0,-1.0,-0.9999998748
0.0,0.0,0.0,1.0,66.0,1.0,0.0,2.0,1.0,0.4739807305
0.0,0.0,0.0,1.5,65.0,1.0,0.0,3.0,1.0,0.9999641009
2.0,1.0,0.0,1.0,70.0,4.0,0.0,1.0,-1.0,-0.9897272484
0.0,0.0,0.0,1.5,51.0,2.0,1.0,2.0,1.0,1
2.0,1.0,1.0,1.5,68.0,3.0,0.0,1.0,-1.0,-1
4.0,1.0,2.0,1.5,64.0,5.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.0,58.0,1.0,0.0,2.0,1.0,1
9.0,1.0,1.0,1.5,61.0,3.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,63.0,3.0,0.0,2.0,1.0,0.8322258925
2.0,2.0,0.0,4.0,68.0,1.0,1.0,2.0,-1.0,-1
0.0,0.0,0.0,1.5,52.0,1.0,0.0,2.0,1.0,1
2.0,1.0,0.0,1.5,72.0,3.0,0.0,1.0,-1.0,-0.4133132371
0.0,0.0,0.0,1.0,50.0,3.0,0.0,2.0,1.0,1
9.0,1.0,2.0,1.5,60.0,4.0,0.0,1.0,-1.0,-1
0.0,0.0,2.0,4.0,70.0,0.0,4.0,1.0,-1.0,-0.995989931
1.0,1.0,1.0,1.5,71.0,0.0,3.0,1.0,-1.0,-0.9999999999
0.0,0.0,0.0,1.5,61.0,3.0,1.0,3.0,-1.0,-0.5196112314
4.0,1.0,0.0,1.5,65.0,0.0,2.0,2.0,-1.0,-1
1.0,1.0,1.0,1.5,71.0,2.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,65.0,0.0,0.0,2.0,1.0,0.9692924196
0.0,0.0,0.0,1.5,73.0,4.0,0.0,3.0,1.0,0.9220621053
2.0,1.0,1.0,1.5,69.0,1.0,2.0,2.0,-1.0,-1
3.0,1.0,1.0,1.5,69.0,1.0,3.0,1.0,-1.0,-1
4.0,1.0,0.0,1.0,62.0,3.0,0.0,1.0,-1.0,-0.9999999999
0.0,0.0,0.0,1.5,40.0,1.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.0,42.0,1.0,2.0,2.0,1.0,1
1.0,0.0,0.0,1.5,70.0,2.0,0.0,3.0,-1.0,-0.8140417567
0.0,0.0,0.0,1.5,73.0,3.0,0.0,3.0,1.0,0.99652124
10.0,1.0,1.0,1.0,46.0,2.0,2.0,1.0,-1.0,-1
2.0,1.0,1.0,1.5,68.0,2.0,2.0,1.0,-1.0,-1
