"field:1","field:2","field:3","field:4","field:5","field:6","field:7","field:8","field:9"
-0.7142857142857143,-1,-1,-0.6666666666666667,0.4358974358974359,-1,0,0.33333333333333326,1
-0.8571428571428572,0,-1,-0.6666666666666667,0.8461538461538463,-0.33333333333333337,-1,-0.33333333333333337,-1
-0.8571428571428572,0,-1,-0.6666666666666667,0.7435897435897436,0.33333333333333326,-1,-1,-1
-1,-1,-1,-0.6666666666666667,0.5384615384615385,-1,0.5,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.4358974358974359,-0.33333333333333337,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,-0.17948717948717952,-0.33333333333333337,-1,0.33333333333333326,1
-0.8571428571428572,0,-1,-0.6666666666666667,0.8461538461538463,0.33333333333333326,-1,-0.33333333333333337,-1
-0.7142857142857143,0,-1,-1,0.4871794871794872,-1,0,-1,-1
-1,-1,-1,-0.6666666666666667,0.7948717948717949,-0.6666666666666667,-1,-0.33333333333333337,1
-0.7142857142857143,0,-1,-1,0.4871794871794872,-0.33333333333333337,0,-1,-1
-0.7142857142857143,0,-1,-0.6666666666666667,0.5897435897435896,-1,0,-1,-1
-0.7142857142857143,1,-1,1,0.7948717948717949,-0.6666666666666667,-1,-0.33333333333333337,-1
-1,-1,-1,-0.6666666666666667,-0.02564102564102566,0.33333333333333326,-1,-0.33333333333333337,1
-0.8571428571428572,0,-1,-0.6666666666666667,0.8461538461538463,-0.33333333333333337,-0.5,-0.33333333333333337,-1
-1,-1,-1,-1,0.4871794871794872,-1,-1,-0.33333333333333337,1
-1,-1,-1,-0.6666666666666667,0.23076923076923084,-1,-1,-0.33333333333333337,1
-0.7142857142857143,0,-1,-1,0.4871794871794872,-1,0,-1,-1
-1,-1,-1,-0.6666666666666667,0.23076923076923084,-0.6666666666666667,-1,0.33333333333333326,1
-0.5714285714285714,0,-1,-0.6666666666666667,0.641025641025641,-1,0.5,-1,-1
