"field:1","field:2","field:3","field:4","field:5","field:6","field:7","field:8","field:9"
6.0,1.0,1.0,1.5,45.0,1.0,2.0,2.0,-1.0
2.0,0.0,0.0,1.0,30.0,1.0,0.0,2.0,1.0
4.0,1.0,0.0,1.0,14.0,1.0,2.0,1.0,-1.0
20.0,0.0,0.0,4.0,26.0,0.0,4.0,1.0,1.0
8.0,0.0,0.0,1.0,30.0,1.0,0.0,2.0,-1.0
2.0,0.0,0.0,1.5,43.0,1.0,1.0,3.0,1.0
4.0,0.0,0.0,1.5,28.0,1.0,0.0,2.0,1.0
0.0,0.0,0.0,1.5,32.0,2.0,0.0,2.0,1.0
2.0,0.0,0.0,1.5,35.0,3.0,0.0,2.0,1.0
3.0,0.0,0.0,4.0,56.0,0.0,1.0,4.0,-1.0
27.0,1.0,1.0,1.5,19.0,0.0,3.0,1.0,-1.0
8.0,0.0,1.0,4.0,54.0,0.0,4.0,1.0,1.0
3.0,1.0,1.0,1.5,40.0,2.0,0.0,1.0,-1.0
9.0,0.0,0.0,1.5,30.0,1.0,1.0,3.0,1.0
9.0,0.0,0.0,1.5,25.0,2.0,0.0,2.0,1.0
4.0,1.0,0.0,1.5,34.0,0.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0,58.0,1.0,2.0,1.0,-1.0
0.0,0.0,0.0,4.0,70.0,0.0,4.0,1.0,1.0
0.0,0.0,0.0,1.5,33.0,2.0,0.0,2.0,1.0
2.0,0.0,0.0,1.5,28.0,1.0,2.0,2.0,1.0
2.0,1.0,0.0,1.5,40.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,4.0,22.0,5.0,0.0,1.0,-1.0
2.0,1.0,0.0,1.0,38.0,1.0,0.0,1.0,-1.0
6.0,1.0,0.0,1.5,36.0,2.0,2.0,1.0,-1.0
5.0,1.0,0.0,1.5,54.0,0.0,1.0,2.0,-1.0
0.0,0.0,0.0,4.0,62.0,0.0,4.0,1.0,1.0
4.0,0.0,0.0,1.5,33.0,2.0,1.0,3.0,1.0
0.0,0.0,0.0,1.5,36.0,3.0,0.0,2.0,1.0
5.0,0.0,0.0,1.5,31.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,1.5,27.0,3.0,0.0,2.0,1.0
4.0,0.0,0.0,4.0,50.0,0.0,4.0,1.0,1.0
2.0,0.0,0.0,1.0,26.0,1.0,0.0,2.0,1.0
1.0,0.0,0.0,1.5,41.0,1.0,0.0,3.0,1.0
2.0,0.0,0.0,1.5,19.0,2.0,0.0,3.0,1.0
2.0,1.0,0.0,1.0,38.0,1.0,2.0,1.0,-1.0
5.0,0.0,0.0,1.5,33.0,1.0,0.0,2.0,-1.0
12.0,0.0,0.0,1.0,18.0,0.0,2.0,2.0,-1.0
7.0,1.0,0.0,1.5,28.0,1.0,3.0,1.0,-1.0
0.0,0.0,0.0,4.0,30.0,3.0,0.0,1.0,1.0
5.0,0.0,0.0,4.0,28.0,0.0,1.0,4.0,-1.0
6.0,0.0,0.0,1.5,31.0,0.0,1.0,3.0,1.0
